ranking,position,position_id,department,no,name,party,start,end,president
6,attorney general,attorney,department of justice,9,William Wirt,democratic-republican,,,James Monroe - John Quincy Adams
6,attorney general,attorney,department of justice,10,John Macpherson Berrien,democratic,,,Andrew Jackson
6,attorney general,attorney,department of justice,11,Roger B. Taney,democratic,,,Andrew Jackson
6,attorney general,attorney,department of justice,12,Benjamin Franklin Butler,democratic,,,Andrew Jackson - Martin Van Buren
6,attorney general,attorney,department of justice,13,Felix Grundy,democratic,,,Martin Van Buren
6,attorney general,attorney,department of justice,14,Henry D. Gilpin,democratic,,,Martin Van Buren
6,attorney general,attorney,department of justice,15,John J. Crittenden,whig,,,William Henry Harrison - John Tyler
6,attorney general,attorney,department of justice,16,Hugh S. Legaré,democratic,,,John Tyler
6,attorney general,attorney,department of justice,17,John Nelson,whig,,,John Tyler
6,attorney general,attorney,department of justice,18,John Y. Mason,democratic,,,James K. Polk
6,attorney general,attorney,department of justice,19,Nathan Clifford,democratic,,,James K. Polk
6,attorney general,attorney,department of justice,20,Isaac Toucey,democratic,,,James K. Polk
6,attorney general,attorney,department of justice,21,Reverdy Johnson,whig,,,Zachary Taylor
6,attorney general,attorney,department of justice,22,John J. Crittenden,whig,,,Millard Fillmore
6,attorney general,attorney,department of justice,23,Caleb Cushing,democratic,,,Franklin Pierce
6,attorney general,attorney,department of justice,24,Jeremiah S. Black,democratic,,,James Buchanan
6,attorney general,attorney,department of justice,25,Edwin Stanton,democratic,,,James Buchanan
6,attorney general,attorney,department of justice,26,Edward Bates,republican,,,Abraham Lincoln
6,attorney general,attorney,department of justice,27,James Speed,republican,,,Abraham Lincoln - Andrew Johnson
6,attorney general,attorney,department of justice,28,Henry Stanbery,republican,,,Andrew Johnson
6,attorney general,attorney,department of justice,29,William M. Evarts,republican,,,Andrew Johnson
6,attorney general,attorney,department of justice,30,Ebenezer R. Hoar,republican,,,Ulysses S. Grant
6,attorney general,attorney,department of justice,31,Amos T. Akerman,republican,,,Ulysses S. Grant
6,attorney general,attorney,department of justice,32,George Henry Williams,republican,,,Ulysses S. Grant
6,attorney general,attorney,department of justice,33,Edwards Pierrepont,republican,,,Ulysses S. Grant
6,attorney general,attorney,department of justice,34,Alphonso Taft,republican,,,Ulysses S. Grant
6,attorney general,attorney,department of justice,35,Charles Devens,republican,,,Rutherford B. Hayes
6,attorney general,attorney,department of justice,36,Wayne MacVeagh,republican,,,James A. Garfield - Chester A. Arthur
6,attorney general,attorney,department of justice,37,Benjamin H. Brewster,republican,,,Chester A. Arthur
6,attorney general,attorney,department of justice,38,Augustus Garland,democratic,,,Grover Cleveland
6,attorney general,attorney,department of justice,39,William H. H. Miller,republican,,,Benjamin Harrison
6,attorney general,attorney,department of justice,40,Richard Olney,democratic,,,Grover Cleveland
6,attorney general,attorney,department of justice,41,Judson Harmon,democratic,,,Grover Cleveland
6,attorney general,attorney,department of justice,42,Joseph McKenna,republican,,,William McKinley
6,attorney general,attorney,department of justice,43,John W. Griggs,republican,,,William McKinley
6,attorney general,attorney,department of justice,44,Philander C. Knox,republican,,,William McKinley - Theodore Roosevelt
6,attorney general,attorney,department of justice,45,William Henry Moody,republican,,,Theodore Roosevelt
6,attorney general,attorney,department of justice,46,Charles Bonaparte,republican,,,Theodore Roosevelt
6,attorney general,attorney,department of justice,47,George W. Wickersham,republican,,,William Howard Taft
6,attorney general,attorney,department of justice,48,James C. McReynolds,democratic,,,Woodrow Wilson
6,attorney general,attorney,department of justice,49,Thomas Watt Gregory,democratic,,,Woodrow Wilson
6,attorney general,attorney,department of justice,50,A. Mitchell Palmer,democratic,,,Woodrow Wilson
6,attorney general,attorney,department of justice,51,Harry M. Daugherty,republican,,,Warren G. Harding - Calvin Coolidge
6,attorney general,attorney,department of justice,52,Harlan F. Stone,republican,,,Calvin Coolidge
6,attorney general,attorney,department of justice,53,John G. Sargent,republican,,,Calvin Coolidge
6,attorney general,attorney,department of justice,54,William D. Mitchell,republican,,,Herbert Hoover
6,attorney general,attorney,department of justice,55,Homer Stille Cummings,democratic,,,Franklin D. Roosevelt
6,attorney general,attorney,department of justice,56,Frank Murphy,democratic,,,Franklin D. Roosevelt
6,attorney general,attorney,department of justice,57,Robert H. Jackson,democratic,,,Franklin D. Roosevelt
6,attorney general,attorney,department of justice,58,Francis Biddle,democratic,,,Franklin D. Roosevelt - Harry S. Truman
6,attorney general,attorney,department of justice,59,Tom C. Clark,democratic,,,Harry S. Truman
6,attorney general,attorney,department of justice,60,J. Howard McGrath,democratic,,,Harry S. Truman
6,attorney general,attorney,department of justice,61,James P. McGranery,democratic,,,Harry S. Truman
6,attorney general,attorney,department of justice,62,Herbert Brownell Jr.,republican,,,Dwight D. Eisenhower
6,attorney general,attorney,department of justice,63,William P. Rogers,republican,,,Dwight D. Eisenhower
6,attorney general,attorney,department of justice,64,Robert F. Kennedy,democratic,,,John F. Kennedy - Lyndon B. Johnson
6,attorney general,attorney,department of justice,65,Nicholas Katzenbach,democratic,,,Lyndon B. Johnson
6,attorney general,attorney,department of justice,66,Ramsey Clark,democratic,,,Lyndon B. Johnson
6,attorney general,attorney,department of justice,67,John N. Mitchell,republican,,,Richard Nixon
6,attorney general,attorney,department of justice,68,Richard Kleindienst,republican,,,Richard Nixon
6,attorney general,attorney,department of justice,69,Elliot Richardson,republican,,,Richard Nixon
6,attorney general,attorney,department of justice,-,Robert Bork,republican,,,Richard Nixon
6,attorney general,attorney,department of justice,70,William B. Saxbe,republican,,,Richard Nixon - Gerald Ford
6,attorney general,attorney,department of justice,71,Edward H. Levi,republican,,,Gerald Ford
6,attorney general,attorney,department of justice,-,Dick Thornburgh,republican,,,Jimmy Carter
6,attorney general,attorney,department of justice,72,Griffin Bell,democratic,,,Jimmy Carter
6,attorney general,attorney,department of justice,73,Benjamin Civiletti,democratic,,,Jimmy Carter
6,attorney general,attorney,department of justice,74,William French Smith,republican,,,Ronald Reagan
6,attorney general,attorney,department of justice,75,Edwin Meese,republican,,,Ronald Reagan
6,attorney general,attorney,department of justice,76,Dick Thornburgh,republican,,,Ronald Reagan - George H. W. Bush
6,attorney general,attorney,department of justice,77,William Barr,republican,,,George H. W. Bush
6,attorney general,attorney,department of justice,-,Stuart M. Gerson,republican,,,Bill Clinton
6,attorney general,attorney,department of justice,78,Janet Reno,democratic,,,Bill Clinton
6,attorney general,attorney,department of justice,-,Eric Holder,democratic,,,George W. Bush
6,attorney general,attorney,department of justice,79,John Ashcroft,republican,,,George W. Bush
6,attorney general,attorney,department of justice,80,Alberto Gonzales,republican,,,George W. Bush
6,attorney general,attorney,department of justice,-,Paul Clement,republican,,,George W. Bush
6,attorney general,attorney,department of justice,-,Peter Keisler,republican,,,George W. Bush
6,attorney general,attorney,department of justice,81,Michael Mukasey,republican,,,George W. Bush
6,attorney general,attorney,department of justice,-,Mark Filip,republican,,,Barack Obama
6,attorney general,attorney,department of justice,82,Eric Holder,democratic,,,Barack Obama
6,attorney general,attorney,department of justice,83,Loretta Lynch,democratic,,,Barack Obama
6,attorney general,attorney,department of justice,-,Sally Yates,democratic,,,Donald Trump
6,attorney general,attorney,department of justice,-,Dana Boente,republican,,,Donald Trump
6,attorney general,attorney,department of justice,84,Jeff Sessions,republican,,,Donald Trump
6,attorney general,attorney,department of justice,-,Matthew Whitaker,republican,,,Donald Trump
6,attorney general,attorney,department of justice,85,William Barr,republican,,,Donald Trump
6,attorney general,attorney,department of justice,-,Jeffrey A. Rosen,republican,,,Donald Trump
7,secretary of the interior,interior,department of the interior,1,Thomas Ewing,whig,,,Zachary Taylor - Millard Fillmore
7,secretary of the interior,interior,department of the interior,2,Thomas M. T. McKennan,whig,,,Millard Fillmore
7,secretary of the interior,interior,department of the interior,3,Alexander H. H. Stuart,whig,,,Millard Fillmore
7,secretary of the interior,interior,department of the interior,4,Robert McClelland,democratic,,,Franklin Pierce
7,secretary of the interior,interior,department of the interior,5,Jacob Thompson,democratic,,,James Buchanan
7,secretary of the interior,interior,department of the interior,6,Caleb B. Smith,republican,,,Abraham Lincoln
7,secretary of the interior,interior,department of the interior,7,John P. Usher,republican,,,Abraham Lincoln - Andrew Johnson
7,secretary of the interior,interior,department of the interior,8,James Harlan,republican,,,Andrew Johnson
7,secretary of the interior,interior,department of the interior,9,Orville H. Browning,republican,,,Andrew Johnson
7,secretary of the interior,interior,department of the interior,10,Jacob D. Cox,republican,,,Ulysses S. Grant
7,secretary of the interior,interior,department of the interior,11,Columbus Delano,republican,,,Ulysses S. Grant
7,secretary of the interior,interior,department of the interior,12,Zachariah Chandler,republican,,,Ulysses S. Grant
7,secretary of the interior,interior,department of the interior,13,Carl Schurz,republican,,,Rutherford B. Hayes
7,secretary of the interior,interior,department of the interior,14,Samuel J. Kirkwood,republican,,,James A. Garfield - Chester A. Arthur
7,secretary of the interior,interior,department of the interior,15,Henry M. Teller,republican,,,Chester A. Arthur
7,secretary of the interior,interior,department of the interior,16,Lucius Q. C. Lamar II,democratic,,,Grover Cleveland
7,secretary of the interior,interior,department of the interior,17,William F. Vilas,democratic,,,Grover Cleveland
7,secretary of the interior,interior,department of the interior,18,John W. Noble,republican,,,Benjamin Harrison
7,secretary of the interior,interior,department of the interior,19,Hoke Smith,democratic,,,Grover Cleveland
7,secretary of the interior,interior,department of the interior,20,David R. Francis,democratic,,,Grover Cleveland
7,secretary of the interior,interior,department of the interior,21,Cornelius N. Bliss,republican,,,William McKinley
7,secretary of the interior,interior,department of the interior,22,Ethan A. Hitchcock,republican,,,William McKinley - Theodore Roosevelt
7,secretary of the interior,interior,department of the interior,23,James R. Garfield,republican,,,Theodore Roosevelt
7,secretary of the interior,interior,department of the interior,24,Richard A. Ballinger,republican,,,William Howard Taft
7,secretary of the interior,interior,department of the interior,25,Walter L. Fisher,republican,,,William Howard Taft
7,secretary of the interior,interior,department of the interior,26,Franklin K. Lane,democratic,,,Woodrow Wilson
7,secretary of the interior,interior,department of the interior,-,Alexander T. Vogelsang,,,,Woodrow Wilson
7,secretary of the interior,interior,department of the interior,27,John B. Payne,democratic,,,Woodrow Wilson
7,secretary of the interior,interior,department of the interior,28,Albert B. Fall,republican,,,Warren G. Harding
7,secretary of the interior,interior,department of the interior,29,Hubert Work,republican,,,Warren G. Harding - Calvin Coolidge
7,secretary of the interior,interior,department of the interior,30,Roy O. West,republican,,,Calvin Coolidge
7,secretary of the interior,interior,department of the interior,31,Ray Lyman Wilbur,republican,,,Herbert Hoover
7,secretary of the interior,interior,department of the interior,32,Harold L. Ickes,democratic,,,Franklin D. Roosevelt - Harry S. Truman
7,secretary of the interior,interior,department of the interior,-,Oscar L. Chapman,,,,Harry S. Truman
7,secretary of the interior,interior,department of the interior,33,Julius A. Krug,democratic,,,Harry S. Truman
7,secretary of the interior,interior,department of the interior,34,Oscar L. Chapman,democratic,,,Harry S. Truman
7,secretary of the interior,interior,department of the interior,35,Douglas McKay,republican,,,Dwight D. Eisenhower
7,secretary of the interior,interior,department of the interior,-,Clarence A. Davis,,,,Dwight D. Eisenhower
7,secretary of the interior,interior,department of the interior,36,Fred A. Seaton,republican,,,Dwight D. Eisenhower
7,secretary of the interior,interior,department of the interior,37,Stewart L. Udall,democratic,,,John F. Kennedy - Lyndon B. Johnson
7,secretary of the interior,interior,department of the interior,38,Walter J. Hickel,republican,,,Richard Nixon
7,secretary of the interior,interior,department of the interior,-,Fred J. Russell,,,,Richard Nixon
7,secretary of the interior,interior,department of the interior,39,Rogers C. B. Morton,republican,,,Richard Nixon - Gerald Ford
7,secretary of the interior,interior,department of the interior,-,D. Kent Frizzell,,,,Gerald Ford
7,secretary of the interior,interior,department of the interior,40,Stanley K. Hathaway,republican,,,Gerald Ford
7,secretary of the interior,interior,department of the interior,-,D. Kent Frizzell,,,,Gerald Ford
7,secretary of the interior,interior,department of the interior,41,Thomas S. Kleppe,republican,,,Gerald Ford
7,secretary of the interior,interior,department of the interior,-,Alfred G. Albert,,,,Jimmy Carter
7,secretary of the interior,interior,department of the interior,42,Cecil D. Andrus,democratic,,,Jimmy Carter
7,secretary of the interior,interior,department of the interior,43,James G. Watt,republican,,,Ronald Reagan
7,secretary of the interior,interior,department of the interior,-,J. J. Simmons III,,,,Ronald Reagan
7,secretary of the interior,interior,department of the interior,44,William P. Clark,republican,,,Ronald Reagan
7,secretary of the interior,interior,department of the interior,45,Donald P. Hodel,republican,,,Ronald Reagan
7,secretary of the interior,interior,department of the interior,-,Earl E. Gjelde,republican,,,George H. W. Bush
7,secretary of the interior,interior,department of the interior,46,Manuel Lujan Jr.,republican,,,George H. W. Bush
7,secretary of the interior,interior,department of the interior,47,Bruce E. Babbitt,democratic,,,Bill Clinton
7,secretary of the interior,interior,department of the interior,-,Thomas N. Slonaker,democratic,,,Bill Clinton - George W. Bush
7,secretary of the interior,interior,department of the interior,48,Gale A. Norton,republican,,,George W. Bush
7,secretary of the interior,interior,department of the interior,-,Lynn Scarlett,,,,George W. Bush
7,secretary of the interior,interior,department of the interior,49,Dirk Kempthorne,republican,,,George W. Bush
7,secretary of the interior,interior,department of the interior,-,Lynn Scarlett,,,,George W. Bush - Barack Obama
7,secretary of the interior,interior,department of the interior,50,Ken Salazar,democratic,,,Barack Obama
7,secretary of the interior,interior,department of the interior,51,Sally Jewell,democratic,,,Barack Obama
7,secretary of the interior,interior,department of the interior,-,Kevin Haugrud,,,,Donald Trump
7,secretary of the interior,interior,department of the interior,52,Ryan Zinke,republican,,,Donald Trump
7,secretary of the interior,interior,department of the interior,53,David Bernhardt,republican,,,Donald Trump
8,secretary of agriculture,agriculture,department of agriculture,1,Norman Jay Coleman,democratic,,,Grover Cleveland
8,secretary of agriculture,agriculture,department of agriculture,2,Jeremiah McLain Rusk,republican,,,Benjamin Harrison
8,secretary of agriculture,agriculture,department of agriculture,3,Julius Sterling Morton,democratic,,,Grover Cleveland
8,secretary of agriculture,agriculture,department of agriculture,4,James Wilson,republican,,,William McKinley - Theodore Roosevelt - William Howard Taft - Woodrow Wilson
8,secretary of agriculture,agriculture,department of agriculture,5,David F. Houston,democratic,,,Woodrow Wilson
8,secretary of agriculture,agriculture,department of agriculture,6,Edwin T. Meredith,democratic,,,Woodrow Wilson
8,secretary of agriculture,agriculture,department of agriculture,7,Henry Cantwell Wallace,republican,,,Warren G. Harding / Calvin Coolidge
8,secretary of agriculture,agriculture,department of agriculture,8,Howard Mason Gore,republican,,,Calvin Coolidge
8,secretary of agriculture,agriculture,department of agriculture,9,William Marion Jardine,republican,,,Calvin Coolidge
8,secretary of agriculture,agriculture,department of agriculture,10,Arthur M. Hyde,republican,,,Herbert Hoover
8,secretary of agriculture,agriculture,department of agriculture,11,Henry A. Wallace,democratic,,,Franklin D. Roosevelt
8,secretary of agriculture,agriculture,department of agriculture,12,Claude R. Wickard,democratic,,,Franklin D. Roosevelt / Harry S. Truman
8,secretary of agriculture,agriculture,department of agriculture,13,Clinton Presba Anderson,democratic,,,Harry S. Truman
8,secretary of agriculture,agriculture,department of agriculture,14,Charles F. Brannan,democratic,,,Harry S. Truman
8,secretary of agriculture,agriculture,department of agriculture,15,Ezra Taft Benson,republican,,,Dwight D. Eisenhower
8,secretary of agriculture,agriculture,department of agriculture,16,Orville Freeman,democratic,,,John F. Kennedy / Lyndon B. Johnson
8,secretary of agriculture,agriculture,department of agriculture,17,Clifford M. Hardin,republican,,,Richard Nixon
8,secretary of agriculture,agriculture,department of agriculture,18,Earl Butz,republican,,,Richard Nixon / Gerald Ford
8,secretary of agriculture,agriculture,department of agriculture,19,John Albert Knebel,republican,,,Gerald Ford
8,secretary of agriculture,agriculture,department of agriculture,20,Robert Bergland,democratic,,,Jimmy Carter
8,secretary of agriculture,agriculture,department of agriculture,21,John Rusling Block,republican,,,Ronald Reagan
8,secretary of agriculture,agriculture,department of agriculture,22,Richard Edmund Lyng,republican,,,Ronald Reagan
8,secretary of agriculture,agriculture,department of agriculture,23,Clayton Keith Yeutter,republican,,,George H. W. Bush
8,secretary of agriculture,agriculture,department of agriculture,24,Edward Rell Madigan,republican,,,George H. W. Bush
8,secretary of agriculture,agriculture,department of agriculture,25,Mike Espy,democratic,,,Bill Clinton
8,secretary of agriculture,agriculture,department of agriculture,-,Richard Rominger,democratic,,,Bill Clinton
8,secretary of agriculture,agriculture,department of agriculture,26,Dan Glickman,democratic,,,Bill Clinton
8,secretary of agriculture,agriculture,department of agriculture,27,Ann Veneman,republican,,,George W. Bush
8,secretary of agriculture,agriculture,department of agriculture,28,Mike Johanns,republican,,,George W. Bush
8,secretary of agriculture,agriculture,department of agriculture,-,Charles F. Conner,republican,,,George W. Bush
8,secretary of agriculture,agriculture,department of agriculture,29,Ed Schafer,republican,,,George W. Bush
8,secretary of agriculture,agriculture,department of agriculture,30,Tom Vilsack,democratic,,,Barack Obama
8,secretary of agriculture,agriculture,department of agriculture,-,Michael Scuse,democratic,,,Barack Obama
8,secretary of agriculture,agriculture,department of agriculture,-,Mike Young,,,,Donald Trump
8,secretary of agriculture,agriculture,department of agriculture,31,Sonny Perdue,republican,,,Donald Trump
9,secretary of commerce,commerce,department of commerce,1,William C. Redfield,democratic,,,Woodrow Wilson
9,secretary of commerce,commerce,department of commerce,2,Joshua W. Alexander,democratic,,,Woodrow Wilson
9,secretary of commerce,commerce,department of commerce,3,Herbert Hoover,republican,,,Warren G. Harding - Calvin Coolidge
9,secretary of commerce,commerce,department of commerce,4,William F. Whiting,republican,,,Calvin Coolidge
9,secretary of commerce,commerce,department of commerce,5,Robert P. Lamont,republican,,,Herbert C. Hoover
9,secretary of commerce,commerce,department of commerce,6,Roy D. Chapin,republican,,,Herbert C. Hoover
9,secretary of commerce,commerce,department of commerce,7,Daniel C. Roper,democratic,,,Franklin D. Roosevelt
9,secretary of commerce,commerce,department of commerce,8,Harry Hopkins,democratic,,,Franklin D. Roosevelt
9,secretary of commerce,commerce,department of commerce,9,Jesse H. Jones,democratic,,,Franklin D. Roosevelt
9,secretary of commerce,commerce,department of commerce,10,Henry A. Wallace,democratic,,,Franklin D. Roosevelt - Harry S. Truman
9,secretary of commerce,commerce,department of commerce,-,Alfred Schindler,democratic,,,Harry S. Truman
9,secretary of commerce,commerce,department of commerce,11,W. Averell Harriman,democratic,,,Harry S. Truman
9,secretary of commerce,commerce,department of commerce,12,Charles W. Sawyer,democratic,,,Harry S. Truman
9,secretary of commerce,commerce,department of commerce,13,Sinclair Weeks,republican,,,Dwight D. Eisenhower
9,secretary of commerce,commerce,department of commerce,-,Lewis Strauss,republican,,,Dwight D. Eisenhower
9,secretary of commerce,commerce,department of commerce,14,Frederick H. Mueller,republican,,,Dwight D. Eisenhower
9,secretary of commerce,commerce,department of commerce,15,Luther H. Hodges,democratic,,,John F. Kennedy - Lyndon B. Johnson
9,secretary of commerce,commerce,department of commerce,16,John T. Connor,Indepedent,,,Lyndon B. Johnson
9,secretary of commerce,commerce,department of commerce,17,Alexander Trowbridge,democratic,,,Lyndon B. Johnson
9,secretary of commerce,commerce,department of commerce,18,C. R. Smith,democratic,,,Lyndon B. Johnson
9,secretary of commerce,commerce,department of commerce,19,Maurice Stans,republican,,,Richard Nixon
9,secretary of commerce,commerce,department of commerce,20,Peter George Peterson,republican,,,Richard Nixon
9,secretary of commerce,commerce,department of commerce,21,Frederick B. Dent,republican,,,Richard Nixon - Gerald Ford
9,secretary of commerce,commerce,department of commerce,22,Rogers Morton,republican,,,Gerald Ford
9,secretary of commerce,commerce,department of commerce,23,Elliot Richardson,republican,,,Gerald Ford
9,secretary of commerce,commerce,department of commerce,24,Juanita M. Kreps,democratic,,,Jimmy Carter
9,secretary of commerce,commerce,department of commerce,-,Luther H. Hodges, Jr.,,,,Jimmy Carter
9,secretary of commerce,commerce,department of commerce,25,Philip Klutznick,democratic,,,Jimmy Carter
9,secretary of commerce,commerce,department of commerce,26,Malcolm Baldrige, Jr.,republican,,,Ronald Reagan
9,secretary of commerce,commerce,department of commerce,-,Bud Brown,republican,,,Ronald Reagan
9,secretary of commerce,commerce,department of commerce,27,William Verity, Jr.,republican,,,Ronald Reagan
9,secretary of commerce,commerce,department of commerce,28,Robert Mosbacher,republican,,,George H. W. Bush
9,secretary of commerce,commerce,department of commerce,-,Rockwell A. Schnabel,republican,,,George H. W. Bush
9,secretary of commerce,commerce,department of commerce,29,Barbara Franklin,republican,,,George H. W. Bush
9,secretary of commerce,commerce,department of commerce,30,Ron Brown,democratic,,,Bill Clinton
9,secretary of commerce,commerce,department of commerce,-,Mary L. Good,,,,Bill Clinton
9,secretary of commerce,commerce,department of commerce,31,Mickey Kantor,democratic,,,Bill Clinton
9,secretary of commerce,commerce,department of commerce,32,William M. Daley,democratic,,,Bill Clinton
9,secretary of commerce,commerce,department of commerce,-,Robert L. Mallett,,,,Bill Clinton
9,secretary of commerce,commerce,department of commerce,33,Norman Mineta,democratic,,,Bill Clinton
9,secretary of commerce,commerce,department of commerce,34,Donald Evans,republican,,,George W. Bush
9,secretary of commerce,commerce,department of commerce,35,Carlos Gutierrez,republican,,,George W. Bush
9,secretary of commerce,commerce,department of commerce,-,Otto J. Wolff,,,,Barack Obama
9,secretary of commerce,commerce,department of commerce,36,Gary Locke,democratic,,,Barack Obama
9,secretary of commerce,commerce,department of commerce,-,Rebecca Blank,democratic,,,Barack Obama
9,secretary of commerce,commerce,department of commerce,37,John Bryson,democratic,,,Barack Obama
9,secretary of commerce,commerce,department of commerce,-,Rebecca Blank,democratic,,,Barack Obama
9,secretary of commerce,commerce,department of commerce,-,Cameron Kerry,democratic,,,Barack Obama
9,secretary of commerce,commerce,department of commerce,38,Penny Pritzker,democratic,,,Barack Obama
9,secretary of commerce,commerce,department of commerce,39,Wilbur Ross,republican,,,Donald Trump
10,secretary of labor,labor,department of labor,1,William B. Wilson,democratic,,,Woodrow Wilson
10,secretary of labor,labor,department of labor,2,James J. Davis,republican,,,Warren G. Harding - Calvin Coolidge - Herbert Hoover
10,secretary of labor,labor,department of labor,3,William N. Doak,republican,,,Herbert Hoover
10,secretary of labor,labor,department of labor,4,Frances Perkins,democratic,,,Franklin D. Roosevelt - Harry S. Truman
10,secretary of labor,labor,department of labor,5,Lewis B. Schwellenbach,democratic,,,Harry S. Truman
10,secretary of labor,labor,department of labor,6,Maurice J. Tobin,democratic,,,Harry S. Truman
10,secretary of labor,labor,department of labor,7,Martin P. Durkin,democratic,,,Dwight D. Eisenhower
10,secretary of labor,labor,department of labor,8,James P. Mitchell,republican,,,Dwight D. Eisenhower
10,secretary of labor,labor,department of labor,9,Arthur Goldberg,democratic,,,John F. Kennedy
10,secretary of labor,labor,department of labor,10,W. Willard Wirtz,democratic,,,John F. Kennedy / Lyndon B. Johnson
10,secretary of labor,labor,department of labor,11,George P. Shultz,republican,,,Richard Nixon
10,secretary of labor,labor,department of labor,12,James D. Hodgson,republican,,,Richard Nixon
10,secretary of labor,labor,department of labor,13,Peter J. Brennan,republican,,,Richard Nixon / Gerald Ford
10,secretary of labor,labor,department of labor,14,John T. Dunlop,republican,,,Gerald Ford
10,secretary of labor,labor,department of labor,15,William Usery Jr.,republican,,,Gerald Ford
10,secretary of labor,labor,department of labor,16,Ray Marshall,democratic,,,Jimmy Carter
10,secretary of labor,labor,department of labor,17,Raymond J. Donovan,republican,,,Ronald Reagan
10,secretary of labor,labor,department of labor,18,Bill Brock,republican,,,Ronald Reagan
10,secretary of labor,labor,department of labor,19,Ann Dore McLaughlin,republican,,,Ronald Reagan
10,secretary of labor,labor,department of labor,20,Elizabeth Dole,republican,,,George H. W. Bush
10,secretary of labor,labor,department of labor,21,Lynn M. Martin,republican,,,George H. W. Bush
10,secretary of labor,labor,department of labor,22,Robert Reich,democratic,,,Bill Clinton
10,secretary of labor,labor,department of labor,23,Alexis Herman,democratic,,,Bill Clinton
10,secretary of labor,labor,department of labor,24,Elaine Chao,republican,,,George W. Bush
10,secretary of labor,labor,department of labor,-,Howard Radzely,republican,,,Barack Obama
10,secretary of labor,labor,department of labor,-,Ed Hugler,,,,Barack Obama
10,secretary of labor,labor,department of labor,25,Hilda Solis,democratic,,,Barack Obama
10,secretary of labor,labor,department of labor,-,Seth Harris,democratic,,,Barack Obama
10,secretary of labor,labor,department of labor,26,Tom Perez,democratic,,,Barack Obama
10,secretary of labor,labor,department of labor,-,Ed Hugler,,,,Donald Trump
10,secretary of labor,labor,department of labor,27,Alexander Acosta,republican,,,Donald Trump
10,secretary of labor,labor,department of labor,-,Patrick Pizzella,republican,,,Donald Trump
10,secretary of labor,labor,department of labor,28,Eugene Scalia,republican,,,Donald Trump
11,secretary of health and human services,hhs,department of health and human services,1,Oveta Culp Hobby,republican,1953-04-11,1955-07-31,Dwight D. Eisenhower
11,secretary of health and human services,hhs,department of health and human services of labor,2,Marion B. Folsom,republican,1955-08-02,1958-07-31,Dwight D. Eisenhower
11,secretary of health and human services,hhs,department of health and human services of labor,3,Arthur S. Flemming,republican,1958-08-01,1961-01-19,Dwight D. Eisenhower
11,secretary of health and human services,hhs,department of health and human services of labor,4,Abraham A. Ribicoff,democratic,1961-01-21,1962-07-13,John F. Kennedy
11,secretary of health and human services,hhs,department of health and human services of labor,5,Anthony J. Celebrezze,democratic,1962-07-31,1965-08-17,John F. Kennedy - Lyndon B. Johnson
11,secretary of health and human services,hhs,department of health and human services of labor,6,John W. Gardner,republican,1965-08-18,1968-03-01,Lyndon B. Johnson
11,secretary of health and human services,hhs,department of health and human services of labor,7,Wilbur J. Cohen,democratic,1968-03-16,1969-01-20,Lyndon B. Johnson
11,secretary of health and human services,hhs,department of health and human services of labor,8,Robert H. Finch,republican,1969-01-21,1970-06-23,Richard Nixon
11,secretary of health and human services,hhs,department of health and human services of labor,9,Elliot L. Richardson,republican,1970-06-24,1973-01-29,Richard Nixon
11,secretary of health and human services,hhs,department of health and human services of labor,10,Caspar Weinberger,republican,1973-02-12,1975-08-08,Richard Nixon - Gerald Ford
11,secretary of health and human services,hhs,department of health and human services of labor,11,F. David Mathews,independent,1975-08-08,1977-01-20,Gerald Ford
11,secretary of health and human services,hhs,department of health and human services of labor,12,Joseph A. Califano Jr.,democratic,1977-01-25,1979-08-03,Jimmy Carter
11,secretary of health and human services,hhs,department of health and human services of labor,13,Patricia Roberts Harris,democratic,1979-08-03,1981-01-20,Jimmy Carter
11,secretary of health and human services,hhs,department of health and human services of labor,14,Richard S. Schweiker,republican,1981-01-22,1983-02-03,Ronald Reagan
11,secretary of health and human services,hhs,department of health and human services of labor,-,Speedy Long,democratic,1983-02-03,1983-03-09,Ronald Reagan
11,secretary of health and human services,hhs,department of health and human services of labor,15,Margaret M. Heckler,republican,1983-03-09,1985-12-13,Ronald Reagan
11,secretary of health and human services,hhs,department of health and human services of labor,16,Otis R. Bowen,republican,1985-12-13,1989-03-01,Ronald Reagan
11,secretary of health and human services,hhs,department of health and human services of labor,17,Louis Wade Sullivan,republican,1989-03-01,1993-01-20,George H. W. Bush
11,secretary of health and human services,hhs,department of health and human services of labor,18,Donna Shalala,democratic,1993-01-22,2001-01-20,Bill Clinton
11,secretary of health and human services,hhs,department of health and human services of labor,19,Tommy G. Thompson,republican,2001-02-02,2005-01-26,George W. Bush
11,secretary of health and human services,hhs,department of health and human services of labor,20,Michael O. Leavitt,republican,2005-01-26,2009-01-20,George W. Bush
11,secretary of health and human services,hhs,department of health and human services of labor,-,Charles E. Johnson,,2009-01-20,2009-04-28,Barack Obama
11,secretary of health and human services,hhs,department of health and human services of labor,21,Kathleen Sebelius,democratic,2009-04-28,2014-06-09,Barack Obama
11,secretary of health and human services,hhs,department of health and human services of labor,22,Sylvia Mathews Burwell,democratic,2014-06-09,2017-01-20,Barack Obama
11,secretary of health and human services,hhs,department of health and human services of labor,-,Norris Cochran,,2017-01-20,2017-02-10,Donald Trump
